# Forces      
# CofR        : (3.250000e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
5500          	((-4.335723e-01 3.212388e+02 2.053450e+02) (-1.127809e+00 -2.515893e-02 -9.477096e-04)) ((7.290253e+00 -1.235712e-01 2.730273e+00) (-5.626859e-04 9.742345e-02 -9.747804e-02))
5600          	((-4.164020e-01 3.213715e+02 2.053774e+02) (-1.128295e+00 -2.526073e-02 -7.524091e-04)) ((7.293489e+00 -8.498172e-02 2.579323e+00) (-5.875591e-04 9.749253e-02 -9.746121e-02))
5700          	((-3.998819e-01 3.215226e+02 2.054263e+02) (-1.127981e+00 -2.529807e-02 -7.079470e-04)) ((7.295845e+00 -4.461393e-02 2.435271e+00) (-5.982081e-04 9.742006e-02 -9.745682e-02))
5800          	((-3.828197e-01 3.216820e+02 2.054815e+02) (-1.128313e+00 -2.532095e-02 -7.550158e-04)) ((7.298093e+00 -4.198280e-03 2.288078e+00) (-6.054040e-04 9.733352e-02 -9.750290e-02))
5900          	((-3.709478e-01 3.218087e+02 2.055358e+02) (-1.128342e+00 -2.533749e-02 -8.135802e-04)) ((7.299288e+00 2.818594e-02 2.186224e+00) (-6.115651e-04 9.717272e-02 -9.752641e-02))
6000          	((-3.626244e-01 3.219219e+02 2.055922e+02) (-1.128079e+00 -2.532865e-02 -9.463970e-04)) ((7.299738e+00 5.443953e-02 2.114941e+00) (-6.099180e-04 9.694878e-02 -9.757023e-02))
6100          	((-3.579102e-01 3.220064e+02 2.056405e+02) (-1.127954e+00 -2.531605e-02 -1.082889e-03)) ((7.299605e+00 7.237627e-02 2.075670e+00) (-6.073653e-04 9.674846e-02 -9.758951e-02))
6200          	((-3.568318e-01 3.220636e+02 2.056798e+02) (-1.127911e+00 -2.527063e-02 -1.249462e-03)) ((7.298944e+00 8.070010e-02 2.067978e+00) (-5.996020e-04 9.653700e-02 -9.763625e-02))
6300          	((-3.596145e-01 3.220824e+02 2.057066e+02) (-1.127296e+00 -2.520029e-02 -1.433518e-03)) ((7.297798e+00 8.023033e-02 2.093621e+00) (-5.893243e-04 9.628790e-02 -9.767346e-02))
6400          	((-3.643454e-01 3.220820e+02 2.057244e+02) (-1.127424e+00 -2.516816e-02 -1.585966e-03)) ((7.296480e+00 7.356390e-02 2.136197e+00) (-5.806551e-04 9.617278e-02 -9.769832e-02))
6500          	((-3.711797e-01 3.220537e+02 2.057291e+02) (-1.127852e+00 -2.512476e-02 -1.705697e-03)) ((7.294983e+00 6.064508e-02 2.196851e+00) (-5.724812e-04 9.610802e-02 -9.773521e-02))
6600          	((-3.792881e-01 3.220094e+02 2.057250e+02) (-1.127120e+00 -2.507309e-02 -1.839692e-03)) ((7.293572e+00 4.373592e-02 2.267981e+00) (-5.602426e-04 9.595312e-02 -9.774167e-02))
6700          	((-3.876584e-01 3.219504e+02 2.057099e+02) (-1.126996e+00 -2.502793e-02 -1.943288e-03)) ((7.292209e+00 2.464429e-02 2.341264e+00) (-5.499767e-04 9.592219e-02 -9.774267e-02))
6800          	((-3.958114e-01 3.218842e+02 2.056885e+02) (-1.127326e+00 -2.500962e-02 -1.999055e-03)) ((7.291193e+00 4.664639e-03 2.412431e+00) (-5.420546e-04 9.596300e-02 -9.775924e-02))
6900          	((-4.029504e-01 3.218153e+02 2.056607e+02) (-1.127147e+00 -2.499469e-02 -2.032770e-03)) ((7.290347e+00 -1.385836e-02 2.474335e+00) (-5.347547e-04 9.598622e-02 -9.775669e-02))
7000          	((-4.085196e-01 3.217506e+02 2.056314e+02) (-1.127171e+00 -2.501104e-02 -2.049116e-03)) ((7.289877e+00 -2.929579e-02 2.522635e+00) (-5.292524e-04 9.606543e-02 -9.775273e-02))
7100          	((-4.124092e-01 3.216961e+02 2.056031e+02) (-1.127438e+00 -2.503506e-02 -1.999997e-03)) ((7.289705e+00 -4.177142e-02 2.556360e+00) (-5.298111e-04 9.615786e-02 -9.775062e-02))
7200          	((-4.144605e-01 3.216514e+02 2.055766e+02) (-1.127373e+00 -2.505703e-02 -1.952022e-03)) ((7.289761e+00 -4.914005e-02 2.573464e+00) (-5.296504e-04 9.623527e-02 -9.774341e-02))
7300          	((-4.150140e-01 3.216192e+02 2.055539e+02) (-1.127399e+00 -2.508638e-02 -1.887509e-03)) ((7.290097e+00 -5.311569e-02 2.577671e+00) (-5.326642e-04 9.632124e-02 -9.771844e-02))
7400          	((-4.136494e-01 3.215968e+02 2.055347e+02) (-1.127637e+00 -2.513240e-02 -1.795312e-03)) ((7.290753e+00 -5.154307e-02 2.565249e+00) (-5.395383e-04 9.639913e-02 -9.771591e-02))
7500          	((-4.114239e-01 3.216002e+02 2.055267e+02) (-1.127920e+00 -2.517294e-02 -1.688698e-03)) ((7.291229e+00 -4.801479e-02 2.544873e+00) (-5.481403e-04 9.646639e-02 -9.772082e-02))
7600          	((-4.076715e-01 3.216124e+02 2.055241e+02) (-1.127895e+00 -2.519586e-02 -1.653686e-03)) ((7.291926e+00 -3.984294e-02 2.511545e+00) (-5.511426e-04 9.652158e-02 -9.769922e-02))
7700          	((-4.034132e-01 3.216319e+02 2.055258e+02) (-1.128231e+00 -2.522859e-02 -1.567161e-03)) ((7.292774e+00 -2.996945e-02 2.474055e+00) (-5.603468e-04 9.655910e-02 -9.772129e-02))
7800          	((-3.986273e-01 3.216622e+02 2.055353e+02) (-1.128244e+00 -2.523977e-02 -1.523218e-03)) ((7.293424e+00 -1.749746e-02 2.432117e+00) (-5.660710e-04 9.655577e-02 -9.772821e-02))
7900          	((-3.944090e-01 3.217028e+02 2.055497e+02) (-1.128349e+00 -2.526032e-02 -1.471569e-03)) ((7.293775e+00 -6.809006e-03 2.395363e+00) (-5.724550e-04 9.654763e-02 -9.774458e-02))
8000          	((-3.906423e-01 3.217396e+02 2.055651e+02) (-1.128706e+00 -2.525143e-02 -1.494050e-03)) ((7.294015e+00 3.205431e-03 2.362665e+00) (-5.727182e-04 9.653207e-02 -9.778177e-02))
8100          	((-3.879488e-01 3.217708e+02 2.055809e+02) (-1.128323e+00 -2.524933e-02 -1.485990e-03)) ((7.294259e+00 1.154925e-02 2.339129e+00) (-5.746570e-04 9.645709e-02 -9.775933e-02))
8200          	((-3.858181e-01 3.217997e+02 2.055977e+02) (-1.128122e+00 -2.524746e-02 -1.509791e-03)) ((7.294328e+00 1.852020e-02 2.320785e+00) (-5.758460e-04 9.641712e-02 -9.775059e-02))
8300          	((-3.849160e-01 3.218290e+02 2.056151e+02) (-1.128181e+00 -2.521086e-02 -1.528863e-03)) ((7.294110e+00 2.143849e-02 2.313291e+00) (-5.754652e-04 9.634900e-02 -9.777488e-02))
8400          	((-3.851476e-01 3.218434e+02 2.056272e+02) (-1.128144e+00 -2.517087e-02 -1.608832e-03)) ((7.293781e+00 2.187160e-02 2.315870e+00) (-5.687302e-04 9.630706e-02 -9.778016e-02))
8500          	((-3.859824e-01 3.218490e+02 2.056357e+02) (-1.127850e+00 -2.516224e-02 -1.613189e-03)) ((7.293646e+00 2.070343e-02 2.323620e+00) (-5.699183e-04 9.626085e-02 -9.775058e-02))
8600          	((-3.876397e-01 3.218533e+02 2.056432e+02) (-1.127925e+00 -2.513384e-02 -1.668909e-03)) ((7.293080e+00 1.736512e-02 2.338492e+00) (-5.647733e-04 9.621841e-02 -9.777215e-02))
8700          	((-3.897362e-01 3.218468e+02 2.056441e+02) (-1.127766e+00 -2.509616e-02 -1.727581e-03)) ((7.292749e+00 1.174713e-02 2.357104e+00) (-5.591634e-04 9.617664e-02 -9.777564e-02))
8800          	((-3.924292e-01 3.218325e+02 2.056415e+02) (-1.127652e+00 -2.508106e-02 -1.739824e-03)) ((7.292357e+00 4.596308e-03 2.380789e+00) (-5.566336e-04 9.618993e-02 -9.775187e-02))
8900          	((-3.951335e-01 3.218162e+02 2.056367e+02) (-1.127541e+00 -2.506757e-02 -1.777678e-03)) ((7.292024e+00 -2.474942e-03 2.404337e+00) (-5.523683e-04 9.617309e-02 -9.774294e-02))
9000          	((-3.975643e-01 3.217966e+02 2.056286e+02) (-1.127336e+00 -2.505884e-02 -1.788041e-03)) ((7.291808e+00 -9.555012e-03 2.425593e+00) (-5.503667e-04 9.618450e-02 -9.772446e-02))
9100          	((-3.995408e-01 3.217771e+02 2.056194e+02) (-1.127169e+00 -2.506018e-02 -1.784253e-03)) ((7.291721e+00 -1.587860e-02 2.442878e+00) (-5.493984e-04 9.621076e-02 -9.769796e-02))
9200          	((-4.013118e-01 3.217570e+02 2.056094e+02) (-1.127445e+00 -2.507767e-02 -1.786441e-03)) ((7.291709e+00 -2.084670e-02 2.457989e+00) (-5.479374e-04 9.627280e-02 -9.769994e-02))
9300          	((-4.020312e-01 3.217436e+02 2.056006e+02) (-1.127361e+00 -2.507616e-02 -1.760993e-03)) ((7.291856e+00 -2.366159e-02 2.463972e+00) (-5.482697e-04 9.628261e-02 -9.769762e-02))
9400          	((-4.022996e-01 3.217333e+02 2.055922e+02) (-1.127353e+00 -2.509274e-02 -1.752380e-03)) ((7.291972e+00 -2.532337e-02 2.466193e+00) (-5.478827e-04 9.632490e-02 -9.769073e-02))
9500          	((-4.019728e-01 3.217266e+02 2.055856e+02) (-1.127844e+00 -2.512145e-02 -1.721709e-03)) ((7.292193e+00 -2.518989e-02 2.463010e+00) (-5.500009e-04 9.637834e-02 -9.771459e-02))
9600          	((-4.011459e-01 3.217250e+02 2.055809e+02) (-1.127442e+00 -2.512291e-02 -1.714671e-03)) ((7.292452e+00 -2.373741e-02 2.455618e+00) (-5.498495e-04 9.635927e-02 -9.770594e-02))
9700          	((-3.998858e-01 3.217274e+02 2.055786e+02) (-1.127642e+00 -2.514683e-02 -1.698589e-03)) ((7.292752e+00 -2.108181e-02 2.444598e+00) (-5.518187e-04 9.639879e-02 -9.771688e-02))
9800          	((-3.984565e-01 3.217324e+02 2.055779e+02) (-1.127900e+00 -2.516774e-02 -1.663162e-03)) ((7.293013e+00 -1.738071e-02 2.431900e+00) (-5.558644e-04 9.641254e-02 -9.772905e-02))
9900          	((-3.968303e-01 3.217396e+02 2.055791e+02) (-1.127706e+00 -2.517591e-02 -1.650968e-03)) ((7.293292e+00 -1.298814e-02 2.417618e+00) (-5.575286e-04 9.638376e-02 -9.773483e-02))
10000         	((-3.952908e-01 3.217503e+02 2.055823e+02) (-1.128029e+00 -2.519545e-02 -1.625073e-03)) ((7.293428e+00 -8.713624e-03 2.404158e+00) (-5.617011e-04 9.642036e-02 -9.775201e-02))
